Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,IMU.header.seq,IMU.header.stamp.secs,IMU.header.stamp.nsecs,IMU.header.frame_id,IMU.orientation.x,IMU.orientation.y,IMU.orientation.z,IMU.orientation.w,IMU.orientation_covariance,IMU.angular_velocity.x,IMU.angular_velocity.y,IMU.angular_velocity.z,IMU.angular_velocity_covariance,IMU.linear_acceleration.x,IMU.linear_acceleration.y,IMU.linear_acceleration.z,IMU.linear_acceleration_covariance,MagField.header.seq,MagField.header.stamp.secs,MagField.header.stamp.nsecs,MagField.header.frame_id,MagField.magnetic_field.x,MagField.magnetic_field.y,MagField.magnetic_field.z,MagField.magnetic_field_covariance,VNYMR
1678251218.5433748,11,1678251218,489061117,IMU1_Frame,0,0,0,,0.09686162071323663,0.08511455912115572,0.7482759343439501,0.6507353258738185,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.120278,-0.445054,0.41704,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.443,-1.878,-11.543,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.1285,-0.4772,0.71,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+097.724,-001.959,+014.690,-00.1285,-00.4772,+00.7100,-02.443,-01.878,-11.543,+00.120278,-00.445054,+00.417041*6F\r\n'"
1678251218.5434513,12,1678251218,514099121,IMU1_Frame,0,0,0,,0.09283634894079487,0.08070542028908326,0.7519797669369349,0.6476067306388797,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.650467,0.227359,0.34295,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.791,-2.172,-9.637,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.1773,-0.4726,0.7292,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+098.283,-002.011,+013.991,-00.1773,-00.4726,+00.7292,-02.791,-02.172,-09.637,-00.650467,+00.227359,+00.342955*68\r\n'"
1678251218.59139,13,1678251218,539118051,IMU1_Frame,0,0,0,,0.0942534895875399,0.07770483271663929,0.7550169948941672,0.6442263391805956,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.343652,-0.501471,0.55195,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-3.375,-1.063,-8.934,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.228,-0.4569,0.7596,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+098.761,-002.419,+013.827,-00.2280,-00.4569,+00.7596,-03.375,-01.063,-08.934,+00.343652,-00.501471,+00.551959*64\r\n'"
1678251218.5914314,14,1678251218,564049005,IMU1_Frame,0,0,0,,0.10474984360948086,0.07596239617576521,0.7588912380504595,0.6382329303955308,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.286457,-0.573616,0.61744,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-4.425,-1.967,-9.744,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.254,-0.4196,0.798,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+099.421,-003.556,+014.447,-00.2540,-00.4196,+00.7980,-04.425,-01.967,-09.744,+00.286457,-00.573616,+00.617443*6E\r\n'"
1678251218.6354182,15,1678251218,588954687,IMU1_Frame,0,0,0,,0.10354813690738245,0.07118289736553113,0.7617346196789611,0.6355872462913387,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.683325,0.137103,0.08098,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-3.757,-2.114,-9.795,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2642,-0.3882,0.8203,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+099.846,-003.857,+013.923,-00.2642,-00.3882,+00.8203,-03.757,-02.114,-09.795,-00.683325,+00.137103,+00.080982*6C\r\n'"
1678251218.6354659,16,1678251218,614000797,IMU1_Frame,0,0,0,,0.09404068475608142,0.06403380452846066,0.7629224478518166,0.6364003143085414,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.960707,0.063075,0.03275,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-3.729,-0.843,-6.834,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2578,-0.3872,0.8128,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+099.941,-003.554,+012.581,-00.2578,-00.3872,+00.8128,-03.729,-00.843,-06.834,-00.960707,+00.063075,+00.032755*6E\r\n'"
1678251218.6793978,17,1678251218,638980865,IMU1_Frame,0,0,0,,0.09375635627140913,0.0548025606610725,0.7637877746141438,0.6362661867125046,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.440286,-0.685161,0.17777,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-4.407,-0.543,-8.511,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2366,-0.3955,0.7766,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+099.975,-004.214,+011.746,-00.2366,-00.3955,+00.7766,-04.407,-00.543,-08.511,-00.440286,-00.685161,+00.177772*62\r\n'"
1678251218.6794431,18,1678251218,663929939,IMU1_Frame,0,0,0,,0.09475915353245368,0.0449419940966284,0.7647744120054977,0.6357051350508951,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.657865,-0.356261,0.04081,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.473,-1.479,-11.553,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.225,-0.4091,0.7249,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+100.048,-005.037,+010.950,-00.2250,-00.4091,+00.7249,-05.473,-01.479,-11.553,-00.657865,-00.356261,+00.040818*6C\r\n'"
1678251218.7233129,19,1678251218,688965082,IMU1_Frame,0,0,0,,0.09000475469932348,0.03805895492584059,0.7639996887668269,0.637773577099004,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.594345,0.033057,-0.22589,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.984,-1.049,-11.197,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.226,-0.4157,0.6817,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+099.844,-005.105,+010.000,-00.2260,-00.4157,+00.6817,-05.984,-01.049,-11.197,-00.594345,+00.033057,-00.225890*60\r\n'"
1678251218.7255387,20,1678251218,713937520,IMU1_Frame,0,0,0,,0.08728124609538532,0.0353295485379979,0.7625422467280873,0.6400493176584277,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.120622,-0.031699,-0.16564,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-6.016,-0.585,-9.831,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2259,-0.4167,0.641,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+099.560,-005.042,+009.570,-00.2259,-00.4167,+00.6410,-06.016,-00.585,-09.831,-00.120622,-00.031699,-00.165645*66\r\n'"
